NPROC, SIZE, NQBITS, TARGET, NREPEAT, TIME, BANDWIDTH
0128,        65536,           15,          100,      1.04858,  0.000491858,      213.187
0128,       131072,           16,          100,      2.09715,  0.000555992,      377.191
0128,       262144,           17,          100,       4.1943,  0.000675201,      621.193
0128,       524288,           18,          100,      8.38861,  0.000859976,      975.447
0128,      1048576,           19,          100,      16.7772,   0.00153017,      1096.43
0128,      2097152,           20,          100,      33.5544,   0.00516915,      649.128
0128,      4194304,           21,          100,      67.1089,     0.010417,      644.225
0128,      8388608,           22,          100,      134.218,     0.020272,      662.084
0128,     16777216,           23,          100,      268.435,    0.0398438,       673.72
0128,     33554432,           24,          100,      536.871,    0.0791609,      678.202
0128,     67108864,           25,           25,      1073.74,    0.0394239,      680.894
0128,    134217728,           26,           25,      2147.48,      0.07903,      679.325
